caseid,sender,target,startdate,terdate,defactoter,ongoing,gradual,expiry,review,measures,goals,adaptgoal,targetsalience,sendersalience,requirementter,outcome,negotiations,costsender,instinvestment,costtarget,multilateralism,datasets,comment,sourceimp,sourceter
EU_CUB_03,1830,40,05.06.2003,23.06.2008,31.01.2005,0,0,0,0,DS,"HR, DM",0,1,0,Clear ,Sender capitulation,1,Blank,0,Minor,EU – USA – RO,EUSANCT,,https://ec.europa.eu/commission/presscorner/detail/en/PESC_03_65,https://data.consilium.europa.eu/doc/document/ST-11076-2008-INIT/en/pdf
OAS_CUB_62,3900,40,31.01.1962,03.06.2009,,0,1,0,0,"DS, TE, CE, AE","DM, HR",0,1,1,Ambiguous,Sender capitulation,0,Blank,0,Severe,EU – USA – RO,TIES,,http://www.oas.org/en/columbus/docs/cuba/MFA8Eng.pdf,https://oas.org/en/about/offices_detail.asp?sCode=CUB
USA_CUB_03,2,40,09.09.2003,05.10.2015,,0,1,0,1,"AS, FS",HR,0,0,0,Clear,Sender capitulation,1,Minor,1,Minor,USA,IST,Human Trafficking Act,https://www.federalregister.gov/documents/2003/09/15/03-23602/presidential-determination-with-respect-to-foreign-governments-efforts-regarding-trafficking-in,https://www.federalregister.gov/documents/2015/10/16/2015-26496/presidential-determination-with-respect-to-foreign-governments-efforts-regarding-trafficking-in
USA_CUB_58,2,40,14.03.1958,,,1,1,0,0,"TE, CE, AE, AS, DS, FS, AF, TB, IM","DM, HR, NP, CT",1,1,1,Clear ,Blank,1,Major,0,Severe,EU – USA – RO,EUSANCT/TIES/HSE,,https://history.state.gov/historicaldocuments/frus1958-60v06/d36,
EEC_HAI_91,"1653, 1830",41,01.10.1991,16.10.1994,,0,1,0,0,"AS, OE, FB, AF, TE, CE","DM, HR",1,1,0,Clear ,Target complete acquiescence,0,Blank,0,Severe,EU – UN – USA – RO,EUSANCT,,https://ec.europa.eu/commission/presscorner/detail/en/IP_91_892,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:41994D0680&from=EN
EU_HAI_01,1830,41,29.01.2001,17.10.2005,,0,0,1,1,AS,"DM, HR",1,1,0,Clear ,Target partial acquiescence,1,Blank,0,Major,EU – USA,EUSANCT/TIES/HSE,,https://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1557383111210&uri=CELEX:32001D0131,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32005D0756&qid=1580217500001&from=EN
OAS_HAI_91,3900,41,03.10.1991,05.06.1995,,0,1,0,0,"TE, AE, AS, AF, DS, FB, FS, CE","DM, HR",0,1,0,Clear ,Target complete acquiescence,1,Blank,1,Severe,EU – UN – USA – RO,TIES/HSE,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015077200205&view=1up&seq=38,http://www.oas.org/en/columbus/docs/haiti/Ad_Hoc_Meeting_%20of_%20Ministers_%20of_%20Foreign_%20Affairs/OEA%20Ser.F%20V.1%20MRE%20RES.7%2095%20Eng.pdf
UN_HAI_93,4400,41,23.06.1993,15.10.1994,27.08.1993,0,0,0,1,"OE, AE, AF, FB",DM,0,1,0,Clear ,"Negotiated settlement, Target complete acquiescence",1,Blank,1,Major,EU – UN – USA – RO,EUSANCT/TIES/HSE,,https://www.securitycouncilreport.org/atf/cf/%7B65BFCF9B-6D27-4E9C-8CD3-CF6E4FF96FF9%7D/Chap%20VII%20SRES%20841.pdf,http://unscr.com/en/resolutions/948
USA_HAI_91,2,41,02.10.1991,04.10.2006,,0,1,0,0,"AE, IM, TE, OE, FS, FB, AS",DM,0,1,0,Clear ,Target partial acquiescence,1,Minor,0,Severe,EU – UN – USA – RO,EUSANCT/TIES/HSE,,US Department of State dispatch / Bureau of Public ... v.2 1991 Oct-Dec. - Full View | HathiTrust Digital Library | HathiTrust Digital Library,https://www.govinfo.gov/content/pkg/FR-2006-10-04/pdf/E6-16386.pdf
USA_DOM_18,2,42,07.09.2018,20.09.2018,,0,0,0,0,DS,Other,0,0,0,Clear ,Sender capitulation,0,Minor,0,Minor,USA,IST,over Taiwan,https://sv.usembassy.gov/u-s-chiefs-of-mission-to-el-salvador-the-dominican-republic-and-panama-called-back-for-consultations/,https://sv.usembassy.gov/conclusion-of-consultations-by-ambassador-manes-and-the-chiefs-of-mission-to-the-dominican-republic-and-panama/
USA_TRI_03,2,52,01.07.2003,16.01.2009,,0,1,0,0,"IM, AS",CB,0,0,0,Clear ,Sender capitulation,1,Minor,0,Minor,USA,EUSANCT/TIES,ICC CASE,https://2001-2009.state.gov/t/pm/rls/othr/misc/23425.htm,https://www.federalregister.gov/documents/2009/01/29/E9-2070/waiving-the-prohibition-on-the-use-of-economic-support-funds-with-respect-to-various-parties-to-the
USA_BAR_03,2,53,01.07.2003,16.01.2009,,0,1,0,0,"IM, AS",CB,0,0,0,Clear ,Sender capitulation,1,Minor,0,Minor,USA,EUSANCT/TIES,ICC CASE,https://2001-2009.state.gov/t/pm/rls/othr/misc/23425.htm,https://www.federalregister.gov/documents/2009/01/29/E9-2070/waiving-the-prohibition-on-the-use-of-economic-support-funds-with-respect-to-various-parties-to-the
USA_DMA_03,2,54,01.07.2003,25.05.2004,,0,0,0,0,"IM, AS",CB,0,0,0,Clear ,Target complete acquiescence,1,Minor,0,Minor,USA,EUSANCT/TIES,ICC CASE,https://2001-2009.state.gov/t/pm/rls/othr/misc/23425.htm,https://www.federalregister.gov/documents/2004/06/04/04-12801/waiving-prohibition-on-united-states-military-assistance-with-respect-to-burkina-faso-and-dominica
USA_SVG_03,2,57,01.07.2003,16.01.2009,,0,1,0,0,"IM, AS",CB,0,0,0,Clear ,Sender capitulation,1,Minor,0,Minor,USA,EUSANCT/TIES,ICC CASE,https://2001-2009.state.gov/t/pm/rls/othr/misc/23425.htm,https://www.federalregister.gov/documents/2009/01/29/E9-2070/waiving-the-prohibition-on-the-use-of-economic-support-funds-with-respect-to-various-parties-to-the
USA_AAB_03,2,58,01.07.2003,01.11.2003,,0,0,0,0,"IM, AS",CB,0,0,0,Clear ,Target complete acquiescence,1,Minor,0,Minor,USA,EUSANCT/TIES,ICC CASE,https://2001-2009.state.gov/t/pm/rls/othr/misc/23425.htm,https://www.federalregister.gov/documents/2003/11/10/03-28361/waiving-prohibition-on-united-states-military-assistance-to-parties-to-the-rome-statute-establishing
